"Joule_calculated","subject","browser","fcp","V1","type","joule_normalized","fcp_normalized","payload_normalized"
1043.07588,"http-192-168-40-1-batterystats-dailymail-dailymail-full","chrome",2554.1,14271,"full",1.917388961028,0.743122683669095,2.25594502801315
972.39168,"http-192-168-40-1-batterystats-dailymail-dailymail-full","chrome",1630.2,13989,"full",1.75011132655753,-0.0859810498242756,2.1509330874603
913.49388,"http-192-168-40-1-batterystats-dailymail-dailymail-full","chrome",2367.9,12210,"full",1.60116213215244,0.575704675100676,1.58501483835917
959.22432,"http-192-168-40-1-batterystats-dailymail-dailymail-full","chrome",1587.2,11740,"full",1.71761024475118,-0.208056073077933,1.34189627528955
833.36112,"http-192-168-40-1-batterystats-dailymail-dailymail-full","chrome",1388.1,11970,"full",1.38229967460362,-0.631401894239761,1.46620446492241
1038.5604,"http-192-168-40-1-batterystats-dailymail-dailymail-full","opera",1426.4,12159,"full",1.90704676030217,-0.5217393083884,1.53789588312821
1010.67408,"http-192-168-40-1-batterystats-dailymail-dailymail-full","opera",1200.2,13844,"full",1.84216246946562,-0.913249926683609,2.10622070795391
547.19928,"http-192-168-40-1-batterystats-dailymail-dailymail-full","opera",1200.9,10903,"full",0.379514372802329,-0.906228700757338,1.02852336955382
933.444,"http-192-168-40-1-batterystats-dailymail-dailymail-full","opera",3409.4,19505,"full",1.65266403411445,1.69150318112383,3.11301726340869
843.83424,"http-192-168-40-1-batterystats-dailymail-dailymail-full","opera",1148.9,10837,"full",1.41207189125368,-1.05649802925668,0.993697068479259
417.39516,"http-192-168-40-1-batterystats-dailymail-dailymail-noads","chrome",1621.9,11822,"noads",-0.265988937975699,-0.113972921245212,1.36509809021206
547.19928,"http-192-168-40-1-batterystats-dailymail-dailymail-noads","chrome",1229.4,11665,"noads",0.379514372802329,-0.812217801499913,1.27629331663219
502.37856,"http-192-168-40-1-batterystats-dailymail-dailymail-noads","chrome",1494.1,10924,"noads",0.175790936267691,-0.402879276905268,1.04842151668575
444.70368,"http-192-168-40-1-batterystats-dailymail-dailymail-noads","chrome",1915,12339,"noads",-0.114911829998073,0.23183436245301,1.61849689446641
473.36868,"http-192-168-40-1-batterystats-dailymail-dailymail-noads","chrome",1403.9,11337,"noads",0.0339997927102807,-0.581191922386159,1.21576600012519
544.86792,"http-192-168-40-1-batterystats-dailymail-dailymail-noads","opera",1837.5,15105,"noads",0.369336118063647,0.174959940165732,2.48478518923856
344.83176,"http-192-168-40-1-batterystats-dailymail-dailymail-noads","opera",1125.1,10590,"noads",-0.721251983095534,-1.14139952156726,0.927429261627518
545.7042,"http-192-168-40-1-batterystats-dailymail-dailymail-noads","opera",1053.4,11271,"noads",0.372992150848927,-1.34189627528955,1.15939234340466
390.06432,"http-192-168-40-1-batterystats-dailymail-dailymail-noads","opera",1036.3,10320,"noads",-0.427428604344341,-1.4013443963101,0.851585042182344
502.70976,"http-192-168-40-1-batterystats-dailymail-dailymail-noads","opera",1375.8,11829,"noads",0.177362017588034,-0.65423104549283,1.38299412710064
484.66152,"http-192-168-40-1-batterystats-dailymail-dailymail-noanalytics","chrome",2003,12396,"noanalytics",0.0902024114443951,0.289469362171406,1.65389844754492
470.04012,"http-192-168-40-1-batterystats-dailymail-dailymail-noanalytics","chrome",1681.3,12794,"noanalytics",0.0171780610747298,-0.0046419208824695,1.8465332589292
345.36348,"http-192-168-40-1-batterystats-dailymail-dailymail-noanalytics","chrome",1894.5,12454,"noanalytics",-0.717578968061252,0.222308065187877,1.67240521506176
332.38944,"http-192-168-40-1-batterystats-dailymail-dailymail-noanalytics","chrome",1518.9,15640,"noanalytics",-0.808857449633726,-0.353019163274114,2.60233042765711
344.1168,"http-192-168-40-1-batterystats-dailymail-dailymail-noanalytics","chrome",2264.5,12694,"noanalytics",-0.72619972094894,0.479642695610339,1.82158144452777
838.37412,"http-192-168-40-1-batterystats-dailymail-dailymail-noanalytics","opera",1318.5,12092,"noanalytics",1.39659666433547,-0.712870450382715,1.49396340221936
1070.16876,"http-192-168-40-1-batterystats-dailymail-dailymail-noanalytics","opera",1307.6,11706,"noanalytics",1.97851727339759,-0.730941616531513,1.30839094968963
331.4088,"http-192-168-40-1-batterystats-dailymail-dailymail-noanalytics","opera",1251.1,11367,"noanalytics",-0.815900896767783,-0.79300007724277,1.22554387294917
855.80352,"http-192-168-40-1-batterystats-dailymail-dailymail-noanalytics","opera",1203.1,11716,"noanalytics",1.4456481220594,-0.899251867969512,1.31939516590522
541.66536,"http-192-168-40-1-batterystats-dailymail-dailymail-noanalytics","opera",1206.2,11829,"noanalytics",0.355283146385705,-0.892318535094087,1.38299412710064
457.56864,"http-192-168-40-1-batterystats-theguardian-theguardian-noad","chrome",2312,8069,"noads",-0.0469269117867814,0.5217393083884,0.443495452975006
409.40352,"http-192-168-40-1-batterystats-theguardian-theguardian-noad","chrome",1516.6,4225,"noads",-0.312074172210135,-0.362917295139356,-0.614494072405518
408.24432,"http-192-168-40-1-batterystats-theguardian-theguardian-noad","chrome",2111.1,5357,"noads",-0.318833515093,0.377831790892152,-0.0394664288894916
450.86184,"http-192-168-40-1-batterystats-theguardian-theguardian-noad","chrome",1540.2,3960,"noads",-0.0821270122990791,-0.304022025329353,-0.78665905068543
299.12868,"http-192-168-40-1-batterystats-theguardian-theguardian-noad","chrome",1935.7,4393,"noads",-1.06019629747007,0.255744478392445,-0.511131101334019
417.09492,"http-192-168-40-1-batterystats-theguardian-theguardian-noad","chrome",1746.2,4725,"noads",-0.267704314852942,0.0953031079898535,-0.321082135243233
447.1848,"http-192-168-40-1-batterystats-theguardian-theguardian-noad","chrome",2467.8,5272,"noads",-0.101648558776537,0.689131147209014,-0.0673585125925315
381.2076,"http-192-168-40-1-batterystats-theguardian-theguardian-noad","chrome",2431,4512,"noads",-0.48218015606066,0.625746113747675,-0.446057715883146
439.87104,"http-192-168-40-1-batterystats-theguardian-theguardian-noad","chrome",2356.2,7386,"noads",-0.140959359494347,0.564781749261431,0.284632217294727
397.53504,"http-192-168-40-1-batterystats-theguardian-theguardian-noad","chrome",1686,4993,"noads",-0.382203233456686,0.0116050210127303,-0.208056073077933
502.6032,"http-192-168-40-1-batterystats-theguardian-theguardian-noad","opera",1173.7,7809,"noads",0.176856652216688,-0.993697068479259,0.377831790892152
365.77296,"http-192-168-40-1-batterystats-theguardian-theguardian-noad","opera",1150.3,6593,"noads",-0.580708429529632,-1.04842151668575,0.189118426272792
312.72192,"http-192-168-40-1-batterystats-theguardian-theguardian-noad","opera",1401.6,9644,"noads",-0.954256253823404,-0.592219364812039,0.730941616531513
648.81432,"http-192-168-40-1-batterystats-theguardian-theguardian-noad","opera",1127.4,5871,"noads",0.78556756337296,-1.12376882255426,0.0766664576563184
327.21588,"http-192-168-40-1-batterystats-theguardian-theguardian-noad","opera",1122.6,7767,"noads",-0.846253493195578,-1.15939234340466,0.362917295139356
526.635,"http-192-168-40-1-batterystats-theguardian-theguardian-noad","opera",1186.3,4316,"noads",0.288199399407289,-0.963722271712118,-0.535082815086322
406.75968,"http-192-168-40-1-batterystats-theguardian-theguardian-noad","opera",3658.6,11911,"noads",-0.327518598569303,1.82158144452777,1.41384503483369
587.5632,"http-192-168-40-1-batterystats-theguardian-theguardian-noad","opera",1129.1,4279,"noads",0.549176287760459,-1.11508309544911,-0.581191922386159
411.36192,"http-192-168-40-1-batterystats-theguardian-theguardian-noad","opera",1166.8,6958,"noads",-0.300698022961141,-1.00902433633217,0.217552525271053
350.10144,"http-192-168-40-1-batterystats-theguardian-theguardian-noad","opera",1390.8,7886,"noads",-0.685097586630145,-0.625746113747675,0.397850023804285
1019.56536,"http-192-168-40-1-batterystats-theguardian-theguardian-noanalytics","chrome",1759.2,5096,"noanalytics",1.86304258992131,0.118646333755466,-0.160836442101396
642.01248,"http-192-168-40-1-batterystats-theguardian-theguardian-noanalytics","chrome",1474.2,4188,"noanalytics",0.760444340929617,-0.433275252222885,-0.659991538619561
713.7504,"http-192-168-40-1-batterystats-theguardian-theguardian-noanalytics","chrome",1682.4,4579,"noanalytics",1.01295736431374,0.00232095418990167,-0.407918740945035
512.46864,"http-192-168-40-1-batterystats-theguardian-theguardian-noanalytics","chrome",1553.2,4512,"noanalytics",0.223195573385584,-0.260543656848,-0.446057715883146
870.21648,"http-192-168-40-1-batterystats-theguardian-theguardian-noanalytics","chrome",2052.1,4616,"noanalytics",1.4854616412905,0.318639363964375,-0.382821860240874
611.09496,"http-192-168-40-1-batterystats-theguardian-theguardian-noanalytics","opera",1236.9,5492,"noanalytics",0.642787456803185,-0.802571888059309,-0.00696291258084083
647.36964,"http-192-168-40-1-batterystats-theguardian-theguardian-noanalytics","opera",1156.9,6441,"noanalytics",0.780253605738824,-1.0245923925401,0.160836442101396
740.0646,"http-192-168-40-1-batterystats-theguardian-theguardian-noanalytics","opera",1074.7,5193,"noanalytics",1.09926345700796,-1.24545931165828,-0.109301996681419
309.62304,"http-192-168-40-1-batterystats-theguardian-theguardian-noanalytics","opera",1497.6,8630,"noanalytics",-0.977996670442517,-0.397850023804284,0.553925796740599
599.96016,"http-192-168-40-1-batterystats-theguardian-theguardian-noanalytics","opera",1536.9,7989,"noanalytics",0.598950180404545,-0.308887103416106,0.423100109874425
404.88804,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-full","chrome",1481.4,2756,"full",-0.338512899083152,-0.418028984178432,-1.30839094968963
442.54368,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-full","chrome",1331.2,3856,"full",-0.126518889134592,-0.706898381869951,-0.838318493952991
353.925,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-full","chrome",1557.9,4227,"full",-0.659203841754468,-0.246163646661359,-0.608897181436491
397.98,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-full","chrome",2790.3,5039,"full",-0.379536469009117,1.01677756045901,-0.184394857586466
418.9248,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-full","chrome",2063.4,2985,"full",-0.257268678265552,0.333325107587732,-1.20610300126827
328.12488,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-full","opera",1305.3,4171,"full",-0.839640343310411,-0.737018480316895,-0.683257025248282
358.05564,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-full","opera",989.3,3855,"full",-0.631542978606004,-1.69150318112383,-0.844933179293064
360.32832,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-full","opera",989.6,2248,"full",-0.616459731845012,-1.67240521506176,-1.53789588312821
286.48944,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-full","opera",1022.8,2143,"full",-1.16311274198823,-1.49396340221936,-1.65389844754492
293.9112,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-full","opera",935.3,2058,"full",-1.10214311688539,-2.20041058121003,-1.92921881220677
315.03168,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noads","chrome",1695.8,4219,"noads",-0.936713781221362,0.0208900882468884,-0.631401894239761
312.37776,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noads","chrome",2007.7,3025,"noads",-0.956881211736685,0.294313289581477,-1.18710758925629
300.58992,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noads","chrome",1703.8,2500,"noads",-1.04857951424848,0.0394664288894916,-1.38905898362949
328.9176,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noads","chrome",1343.3,2088,"noads",-0.833888090403723,-0.683257025248282,-1.80951926239399
281.88756,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noads","chrome",2157.8,4647,"noads",-1.2017155593967,0.397850023804285,-0.357963845332562
316.0836,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noads","opera",1207.7,2396,"noads",-0.928767102668716,-0.87857891994897,-1.45273877664645
310.06296,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noads","opera",939.5,2101,"noads",-0.974612024538308,-2.10622070795391,-1.77483021375867
306.48384,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noads","opera",1034.5,2132,"noads",-1.0022894832863,-1.42657059945551,-1.67240521506176
238.28832,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noads","opera",1021.5,2056,"noads",-1.60226762511233,-1.50828546562336,-1.95996398454005
237.3408,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noads","opera",1036.1,4131,"noads",-1.61176557976583,-1.41384503483369,-0.724891626082159
415.44972,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noanalytics","chrome",1590.1,2418,"noanalytics",-0.277125898126382,-0.189118426272792,-1.43953147093846
401.87772,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noanalytics","chrome",3001,4168,"noanalytics",-0.356303036148683,1.20610300126827,-0.689131147209014
370.1808,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noanalytics","chrome",1502.4,2304,"noanalytics",-0.55215276378969,-0.392830813649729,-1.52292377133927
402.2064,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noanalytics","chrome",3715.6,4192,"noanalytics",-0.354354161613438,1.8726906799231,-0.65423104549283
350.1162,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noanalytics","chrome",2800.3,4152,"noanalytics",-0.684997086888391,1.0324703045108,-0.700951419584212
678.82716,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noanalytics","opera",938.5,4051,"noanalytics",0.893366180785337,-2.1509330874603,-0.767822588675739
297.72432,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noanalytics","opera",922.8,2044,"noanalytics",-1.0714144887362,-2.60233042765711,-1.99268184795863
334.23768,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noanalytics","opera",958.8,3831,"noanalytics",-0.795638773791316,-1.90019596656649,-0.858274800580755
349.0848,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noanalytics","opera",1052.7,2104,"noanalytics",-0.692030028822639,-1.3534061120182,-1.73166439612225
350.10144,"http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noanalytics","opera",1051.5,2220,"noanalytics",-0.685097586630145,-1.36509809021206,-1.55322089800153
603.56916,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-full","chrome",2598.3,5931,"full",0.613247160627138,0.805778858356836,0.099967193960743
791.71416,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-full","chrome",2377.9,5116,"full",1.2600865056784,0.586696725427623,-0.151438742677196
687.54528,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-full","chrome",2570.3,5892,"full",0.923787117621753,0.774070859505182,0.0906410943041526
630.9792,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-full","chrome",3219.1,6393,"full",0.719120296408021,1.47994138903519,0.156135868703289
567.9072,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-full","chrome",2834.2,5631,"full",0.468063192761021,1.05649802925668,0.0394664288894916
829.1448,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-full","opera",1877.6,5511,"full",1.37020805744998,0.217552525271053,-0.00232095418990181
534.74256,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-full","opera",1648.5,4910,"full",0.324619517799475,-0.0487593079736667,-0.255744478392445
816.0588,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-full","opera",1680.1,5130,"full",1.3322844615668,-0.0116050210127303,-0.142054399120219
577.51776,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-full","opera",1578.8,4448,"full",0.508067337359002,-0.227068637986835,-0.490084544810971
501.2136,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-full","opera",1518.2,4746,"full",0.170256587892453,-0.357963845332562,-0.31375950359513
418.43448,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noad","chrome",3969.3,6730,"noads",-0.260060450531909,2.02768318791117,0.208056073077933
469.60992,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noad","chrome",2359.4,4870,"noads",0.0149952471116766,0.570234707771494,-0.260543656848
374.96412,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noad","chrome",2436.1,4584,"noads",-0.521546769070476,0.631401894239761,-0.402879276905268
396.5328,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noad","chrome",2775,5551,"noads",-0.388220875974899,1.00133129752569,0.0162473795380189
403.4448,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noad","chrome",3125.1,5572,"noads",-0.347025472551685,1.4013443963101,0.0255332472823687
391.40352,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noad","opera",1987.8,5727,"noads",-0.419258139972003,0.284632217294727,0.053407276842684
352.83888,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noad","opera",1589.4,4314,"noads",-0.666530660954738,-0.19857834735111,-0.548522282698098
890.92512,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noad","opera",1519.7,4078,"noads",1.54152646319986,-0.345618248847929,-0.761604151539962
437.9832,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noad","opera",1705.3,4310,"noads",-0.151212471985104,0.0487593079736668,-0.553925796740599
424.90944,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noad","opera",1548.1,4111,"noads",-0.223454381777411,-0.279801723117456,-0.743122683669095
337.28148,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noanalytics","chrome",3093.1,4825,"noanalytics",-0.774027908347932,1.36509809021206,-0.289469362171406
535.98024,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noanalytics","chrome",2450.1,3934,"noanalytics",0.330130692339157,0.665774016222946,-0.799373150774883
364.9968,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noanalytics","chrome",2738.7,4389,"noanalytics",-0.585772300530367,0.956362964763013,-0.516427940352797
308.9592,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noanalytics","chrome",2256.1,3447,"noanalytics",-0.98311322105515,0.458913482692844,-1.00902433633217
397.97856,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noanalytics","chrome",2080.8,3377,"noanalytics",-0.379545094504968,0.34808309750652,-1.0324703045108
350.70228,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noanalytics","opera",2903.2,5033,"noanalytics",-0.68100993210126,1.11508309544911,-0.189118426272792
337.15584,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noanalytics","opera",1561.6,2510,"noanalytics",-0.774916081899441,-0.241381745822447,-1.36509809021206
319.74516,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noanalytics","opera",1681.3,2759,"noanalytics",-0.901310800465084,-0.0046419208824695,-1.29754292861655
470.04012,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noanalytics","opera",1608.4,2900,"noanalytics",0.0171780610747298,-0.142054399120219,-1.23544034156125
348.4296,"http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noanalytics","opera",1530.3,2459,"noanalytics",-0.696508527604474,-0.323526823968293,-1.41384503483369
811.88748,"http-independent-co-uk-batterystats-independent-independent-full","chrome",2552.6,9037,"full",1.32006794275947,0.737018480316896,0.665774016222946
794.92644,"http-independent-co-uk-batterystats-independent-independent-full","chrome",2578.2,9485,"full",1.26973919850722,0.78665905068543,0.712870450382715
767.98656,"http-independent-co-uk-batterystats-independent-independent-full","chrome",2712.5,8770,"full",1.1875495881109,0.927429261627518,0.597760126042478
876.74976,"http-independent-co-uk-batterystats-independent-independent-full","chrome",4099.2,10499,"full",1.50329207496326,2.20041058121003,0.920316464918705
941.25456,"http-independent-co-uk-batterystats-independent-independent-full","chrome",3000.9,9091,"full",1.6725280200941,1.19655132690156,0.671578841593754
876.00312,"http-independent-co-uk-batterystats-independent-independent-full","opera",1774,8819,"full",1.50126110400108,0.137366966074214,0.603319299671101
731.50776,"http-independent-co-uk-batterystats-independent-independent-full","opera",1750.3,8832,"full",1.07153985279356,0.109301996681419,0.608897181436491
651.85488,"http-independent-co-uk-batterystats-independent-independent-full","opera",1590,8073,"full",0.796713085193519,-0.193846218385278,0.448622910601434
662.63616,"http-independent-co-uk-batterystats-independent-independent-full","opera",1661.8,10486,"full",0.835818359639601,-0.0348213172603477,0.899251867969512
265.608,"http-independent-co-uk-batterystats-independent-independent-full","opera",1613,8310,"full",-1.34352351914973,-0.118646333755466,0.490084544810971
451.51344,"http-independent-co-uk-batterystats-independent-independent-noads","chrome",1699.6,6033,"noads",-0.0786842558381013,0.0348213172603476,0.109301996681419
275.3784,"http-independent-co-uk-batterystats-independent-independent-noads","chrome",2455.4,4469,"noads",-1.2574075566661,0.671578841593754,-0.479642695610339
238.70376,"http-independent-co-uk-batterystats-independent-independent-noads","chrome",1682.9,5229,"noads",-1.59811515188641,0.00696291258084083,-0.0953031079898535
241.54992,"http-independent-co-uk-batterystats-independent-independent-noads","chrome",2302.9,5472,"noads",-1.5698596298912,0.51113110133402,-0.0162473795380188
